number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_weight_decay,user_attrs_val_accuracy,user_attrs_val_f1,user_attrs_val_precision,user_attrs_val_recall,state,val_accuracy,val_precision,val_recall,val_f1
0,0.8605826709753567,2025-09-12 04:16:18.234899,2025-09-12 04:21:35.405889,0 days 00:05:17.170990,16,0.49279757672456204,5.6115164153345e-05,0.0007114476009343421,0.8935483870967742,0.8605826709753567,0.867078727372845,0.8662991643136247,COMPLETE,0.8935483870967742,0.867078727372845,0.8662991643136247,0.8605826709753567
1,0.7017832073265764,2025-09-12 04:21:35.407115,2025-09-12 04:26:34.978314,0 days 00:04:59.571199,64,0.4404460046972835,1.3066739238053272e-05,0.0003967605077052988,0.8161290322580645,0.7017832073265764,0.6981912074597468,0.7181481844993589,COMPLETE,0.8161290322580645,0.6981912074597468,0.7181481844993589,0.7017832073265764
2,0.831844578958407,2025-09-12 04:26:34.979730,2025-09-12 04:31:34.887091,0 days 00:04:59.907361,64,0.2727299868828402,0.000462258900102083,4.335281794951567e-06,0.8612903225806452,0.831844578958407,0.8566957204718115,0.8244296328713139,COMPLETE,0.8612903225806452,0.8566957204718115,0.8244296328713139,0.831844578958407
3,0.7147994471365721,2025-09-12 04:31:34.888469,2025-09-12 04:33:05.345640,0 days 00:01:30.457171,64,0.44474115788895174,7.309539835912905e-05,7.4763120622522945e-06,,,,,PRUNED,,,,
4,0.7957872288637092,2025-09-12 04:33:05.347035,2025-09-12 04:37:48.839804,0 days 00:04:43.492769,32,0.2798695128633439,8.168455894760161e-05,0.0002267398652378039,,,,,PRUNED,,,,
5,0.8196374768985268,2025-09-12 04:37:48.841210,2025-09-12 04:42:32.307766,0 days 00:04:43.466556,32,0.2260206371941118,0.000164092867306479,3.247673570627449e-06,,,,,PRUNED,,,,
6,0.6143237506619014,2025-09-12 04:42:32.309076,2025-09-12 04:43:33.150315,0 days 00:01:00.841239,64,0.47369321060486275,4.066563313514796e-05,1.9634341572933354e-06,,,,,PRUNED,,,,
7,0.6218846128240079,2025-09-12 04:43:33.151751,2025-09-12 04:44:37.806431,0 days 00:01:04.654680,16,0.3035119926400068,1.1715937392307055e-05,0.0005345166110646819,,,,,PRUNED,,,,
8,0.8364140966594177,2025-09-12 04:44:37.807697,2025-09-12 04:49:21.245325,0 days 00:04:43.437628,32,0.5878338511058234,0.00012399967836846095,3.5856126103453987e-06,0.864516129032258,0.8364140966594177,0.8593749387867035,0.8391057835149309,COMPLETE,0.864516129032258,0.8593749387867035,0.8391057835149309,0.8364140966594177
9,0.8336640940310525,2025-09-12 04:49:21.246546,2025-09-12 04:54:20.539983,0 days 00:04:59.293437,64,0.2353970008207678,0.0001569639638866114,0.0005829384542994739,0.896774193548387,0.8336640940310525,0.8397778042464948,0.834792338581516,COMPLETE,0.896774193548387,0.8397778042464948,0.834792338581516,0.8336640940310525
10,0.0786235669847024,2025-09-12 04:54:20.541195,2025-09-12 04:55:24.950683,0 days 00:01:04.409488,16,0.5660959891457686,0.000776735381623706,4.748459024928738e-05,,,,,PRUNED,,,,
11,0.654986776612537,2025-09-12 04:55:24.952240,2025-09-12 04:56:22.268683,0 days 00:00:57.316443,32,0.5948416441138058,2.9992044641693066e-05,3.387078957432493e-05,,,,,PRUNED,,,,
12,0.688356358949799,2025-09-12 04:56:22.269852,2025-09-12 04:57:26.628632,0 days 00:01:04.358780,16,0.5225924223572849,0.0002849665788739657,9.974700747390046e-05,,,,,PRUNED,,,,
13,0.7122998965120381,2025-09-12 04:57:26.629911,2025-09-12 04:58:30.971431,0 days 00:01:04.341520,16,0.3691597204802308,3.7299981541424056e-05,1.2670343663502047e-05,,,,,PRUNED,,,,
14,0.7217105535260316,2025-09-12 04:58:30.972700,2025-09-12 04:59:28.487560,0 days 00:00:57.514860,32,0.5234202116303719,0.00014399548605467695,1.0621701873852112e-06,,,,,PRUNED,,,,
15,0.7134689569155603,2025-09-12 04:59:28.489202,2025-09-12 05:00:33.047112,0 days 00:01:04.557910,16,0.5136322412446361,6.190198704776407e-05,0.00011711426667473566,,,,,PRUNED,,,,
16,0.5849243018426463,2025-09-12 05:00:33.048275,2025-09-12 05:01:30.379898,0 days 00:00:57.331623,32,0.38600020902544696,2.027422457262912e-05,1.5108981156696032e-05,,,,,PRUNED,,,,
17,0.7232175739140169,2025-09-12 05:01:30.381097,2025-09-12 05:04:10.237579,0 days 00:02:39.856482,16,0.5997449754566204,0.0002693055153947346,0.0009463238691482659,,,,,PRUNED,,,,
18,0.8456143687990647,2025-09-12 05:04:10.238883,2025-09-12 05:08:53.216284,0 days 00:04:42.977401,32,0.5484585963567844,0.0001054029154882069,1.553827049568992e-05,0.8935483870967742,0.8456143687990647,0.8775785434608965,0.8496108565594269,COMPLETE,0.8935483870967742,0.8775785434608965,0.8496108565594269,0.8456143687990647
19,0.6646229678042836,2025-09-12 05:08:53.217579,2025-09-12 05:09:50.614471,0 days 00:00:57.396892,32,0.48489058069040764,5.496914760401943e-05,6.319040482576163e-05,,,,,PRUNED,,,,
20,0.7184322593997639,2025-09-12 05:09:50.615690,2025-09-12 05:10:55.297103,0 days 00:01:04.681413,16,0.34647199838424775,2.4250447500682428e-05,1.4066629682839711e-05,,,,,PRUNED,,,,
21,0.7113962337340974,2025-09-12 05:10:55.298198,2025-09-12 05:11:52.619270,0 days 00:00:57.321072,32,0.5492222772379655,0.00011542439326538683,6.679662529308191e-06,,,,,PRUNED,,,,
22,0.8275423100987009,2025-09-12 05:11:52.620495,2025-09-12 05:16:35.754262,0 days 00:04:43.133767,32,0.5543803027051399,0.00022629117241028667,2.7913436352241444e-05,0.9,0.8275423100987009,0.8770410800107195,0.8368775167388005,COMPLETE,0.9,0.8770410800107195,0.8368775167388005,0.8275423100987009
23,0.8339864742970109,2025-09-12 05:16:35.755628,2025-09-12 05:21:18.898972,0 days 00:04:43.143344,32,0.42802432474356444,0.0001030147478822035,2.2434063629806896e-06,0.9,0.8339864742970109,0.862222730399975,0.8394041691669775,COMPLETE,0.9,0.862222730399975,0.8394041691669775,0.8339864742970109
24,0.7210934799215705,2025-09-12 05:21:18.900194,2025-09-12 05:22:16.381391,0 days 00:00:57.481197,32,0.4885879965461792,0.00047761563912655043,2.203499079344575e-05,,,,,PRUNED,,,,
25,0.6874636125650325,2025-09-12 05:22:16.382647,2025-09-12 05:23:13.711677,0 days 00:00:57.329030,32,0.5642655309165042,4.881901256571997e-05,7.0728708171493954e-06,,,,,PRUNED,,,,
26,0.7679021986469138,2025-09-12 05:23:13.712875,2025-09-12 05:24:49.943285,0 days 00:01:36.230410,16,0.5301856633700436,9.902186997673094e-05,1.256773149801373e-06,,,,,PRUNED,,,,
27,0.7431591016299915,2025-09-12 05:24:49.944540,2025-09-12 05:26:15.486291,0 days 00:01:25.541751,32,0.5803216821056829,0.00020045535620753498,0.0001833659739149711,,,,,PRUNED,,,,
28,0.737172319652773,2025-09-12 05:26:15.487529,2025-09-12 05:28:09.254915,0 days 00:01:53.767386,32,0.4688390309634207,0.0003730450642187238,9.939104522693127e-06,,,,,PRUNED,,,,
29,0.631431321073093,2025-09-12 05:28:09.256090,2025-09-12 05:29:13.601576,0 days 00:01:04.345486,16,0.43459951737030234,1.722693994422323e-05,4.357366897586865e-06,,,,,PRUNED,,,,
30,0.676708012465074,2025-09-12 05:29:13.602753,2025-09-12 05:30:14.325049,0 days 00:01:00.722296,64,0.4964569008716886,8.372703992949193e-05,0.0002468843445788828,,,,,PRUNED,,,,
31,0.826974052271274,2025-09-12 05:30:14.326250,2025-09-12 05:34:57.390087,0 days 00:04:43.063837,32,0.42529448137301756,0.00011910332423891659,2.032860486413333e-06,0.8741935483870967,0.826974052271274,0.835975925884648,0.827019798174349,COMPLETE,0.8741935483870967,0.835975925884648,0.827019798174349,0.826974052271274
32,0.7415922024918564,2025-09-12 05:34:57.391382,2025-09-12 05:35:54.737235,0 days 00:00:57.345853,32,0.4506069966101462,0.00010202763178536699,2.7460695596444846e-06,,,,,PRUNED,,,,
33,0.7417113795543476,2025-09-12 05:35:54.738397,2025-09-12 05:36:52.131304,0 days 00:00:57.392907,32,0.40694102608562666,6.597294826931264e-05,4.696737561956061e-06,,,,,PRUNED,,,,
34,0.7501731521433816,2025-09-12 05:36:52.132504,2025-09-12 05:37:49.486344,0 days 00:00:57.353840,32,0.53970070617693,8.063110812985415e-05,1.7177880840316535e-06,,,,,PRUNED,,,,
35,0.6192825476306251,2025-09-12 05:37:49.487673,2025-09-12 05:38:50.267430,0 days 00:01:00.779757,64,0.5037457318047915,4.483515726303987e-05,2.952974986132835e-06,,,,,PRUNED,,,,
36,0.7367013669872895,2025-09-12 05:38:50.268531,2025-09-12 05:39:47.686415,0 days 00:00:57.417884,32,0.4519097698281352,0.00013233546397043976,5.926104519708778e-06,,,,,PRUNED,,,,
37,0.6712459058530941,2025-09-12 05:39:47.687892,2025-09-12 05:40:45.016788,0 days 00:00:57.328896,32,0.3367000926452868,3.113158613222111e-05,1.9554745607640526e-05,,,,,PRUNED,,,,
38,0.7147818482226169,2025-09-12 05:40:45.017938,2025-09-12 05:41:45.808279,0 days 00:01:00.790341,64,0.5776796164618432,0.00017088797299944292,9.518146860642999e-06,,,,,PRUNED,,,,
39,0.8404913959343664,2025-09-12 05:41:45.809547,2025-09-12 05:46:28.923542,0 days 00:04:43.113995,32,0.4644676312986738,8.75263696835369e-05,3.5337988479889716e-06,0.8838709677419355,0.8404913959343664,0.8614367826986422,0.8344677101514765,COMPLETE,0.8838709677419355,0.8614367826986422,0.8344677101514765,0.8404913959343664
40,0.7875774122678146,2025-09-12 05:46:28.924702,2025-09-12 05:48:05.248713,0 days 00:01:36.324011,16,0.4651917425367912,7.651826743561738e-05,4.5457572175356454e-05,,,,,PRUNED,,,,
41,0.781702716974987,2025-09-12 05:48:05.249812,2025-09-12 05:49:30.855838,0 days 00:01:25.606026,32,0.40934620426673457,8.801980746333827e-05,3.470070110329395e-06,,,,,PRUNED,,,,
42,0.685189630763781,2025-09-12 05:49:30.857072,2025-09-12 05:50:28.112388,0 days 00:00:57.255316,32,0.4264392134038689,6.0120481623777705e-05,1.5161755188132413e-06,,,,,PRUNED,,,,
43,0.7395390200265711,2025-09-12 05:50:28.113651,2025-09-12 05:51:25.385732,0 days 00:00:57.272081,32,0.5052229001964164,0.00019169680953010605,2.361566657342928e-06,,,,,PRUNED,,,,
44,0.8572152053021264,2025-09-12 05:51:25.386959,2025-09-12 05:56:08.385671,0 days 00:04:42.998712,32,0.4772641540188408,0.0001368841836127743,4.017659474239297e-06,0.8774193548387097,0.8572152053021264,0.8635656726967333,0.8671143402171342,COMPLETE,0.8774193548387097,0.8635656726967333,0.8671143402171342,0.8572152053021264
45,0.7505013764886217,2025-09-12 05:56:08.387006,2025-09-12 05:58:02.448355,0 days 00:01:54.061349,32,0.5445294000797632,0.00013350799126838768,4.870359077798646e-06,,,,,PRUNED,,,,
46,0.5907131055428203,2025-09-12 05:58:02.449616,2025-09-12 05:59:03.214666,0 days 00:01:00.765050,64,0.5818176085951187,3.5051521359476404e-05,1.018737659984604e-05,,,,,PRUNED,,,,
47,0.8206318361913453,2025-09-12 05:59:03.215940,2025-09-12 06:04:22.935600,0 days 00:05:19.719660,16,0.47818186765012644,0.00016092578296801643,3.680023515370996e-06,0.8838709677419355,0.8206318361913453,0.8255497680021662,0.8306499922730374,COMPLETE,0.8838709677419355,0.8255497680021662,0.8306499922730374,0.8206318361913453
48,0.8527889376771948,2025-09-12 06:04:22.936990,2025-09-12 06:09:06.490357,0 days 00:04:43.553367,32,0.5215316321381707,0.0002531333691747741,6.3164902248128e-05,0.8774193548387097,0.8527889376771948,0.8677814432565378,0.8556645280969694,COMPLETE,0.8774193548387097,0.8677814432565378,0.8556645280969694,0.8527889376771948
49,0.7125297909919455,2025-09-12 06:09:06.491728,2025-09-12 06:11:00.473894,0 days 00:01:53.982166,32,0.5172120850656045,0.00036798818381559293,0.0007002561100320748,,,,,PRUNED,,,,
